I1(Lex) S(gr)	I1(Lex)S(sba)	I1(Grevlex) S(gr)	I1(Grevlex)S(sba)	I2(Lex) S(gr)	I2(Lex)S(sba)	I2(Grevlex) S(gr)	I2(Grevlex)S(sba)	I3(Grevlex) S(gr)	I3(Grevlex)S(sba)
1400	62	516	153	1272	91	411	88	513	226
1415	63	515	165	1290	90	414	88	515	222
1397	63	514	147	1270	89	407	88	519	218
1420	63	517	151	1272	89	408	88	517	221
1407	63	510	148	1289	89	407	90	519	224
1410	62	516	149	1264	90	409	88	519	220
1404	62	514	150	1272	90	411	89	515	223
1399	62	534	150	1284	89	408	89	523	222
1414	62	515	149	1273	89	423	89	512	223
1401	61	516	147	1281	89	407	89	514	220
1399	63	514	146	1266	89	411	90	514	220
1397	62	515	146	1276	89	406	88	515	221
1414	63	525	147	1275	90	407	89	518	217
1422	62	518	147	1278	91	409	90	514	224
1403	62	510	147	1269	89	408	100	510	220
1415	62	515	146	1284	89	408	88	513	221
1402	62	514	146	1277	89	409	88	514	219
1409	62	513	164	1263	89	408	88	528	225
1411	63	512	144	1274	90	410	89	519	224
1403	62	511	147	1266	90	411	88	520	221
1416	62	512	150	1281	90	412	89	515	219
1398	63	511	148	1261	90	424	88	518	221
1408	62	511	148	1279	90	410	89	523	221
1413	64	522	145	1300	89	412	89	517	219
1409	62	510	147	1272	90	412	89	514	218
1415	62	511	147	1273	88	409	89	517	248
1401	62	509	146	1288	89	412	88	514	225
1447	62	509	145	1276	89	407	89	513	221
1420	63	517	147	1268	90	415	87	514	221
1420	62	509	147	1265	90	407	88	512	219
1394	62	510	146	1271	89	409	89	513	222
1399	62	509	143	1274	90	406	88	511	222
1424	63	509	149	1259	88	405	89	513	220
1421	62	514	156	1269	88	406	88	516	219
1424	63	511	153	1272	89	409	88	514	223
1415	63	511	148	1271	88	419	88	519	222
1400	62	511	147	1272	89	403	89	522	223
1420	63	513	148	1272	89	407	88	519	220
1419	62	515	145	1272	89	407	88	516	221
1403	62	549	148	1278	90	408	89	515	223
1407	63	508	147	1295	91	408	90	513	218
1396	62	512	148	1256	90	410	90	526	220
1427	63	510	147	1284	89	412	89	511	220
1420	62	512	146	1275	89	407	88	512	223
1397	63	521	148	1274	89	407	87	513	221
1445	62	506	146	1274	91	406	88	514	220
1404	62	510	145	1269	90	406	87	514	219
1419	62	506	148	1271	90	407	88	512	217
1420	62	512	151	1277	89	410	90	517	221
1426	62	511	151	1272	90	419	88	515	220
1406	62	512	148	1254	88	407	90	515	223
1402	63	513	146	1286	89	409	91	530	221
1402	69	508	155	1270	90	430	108	515	226
1424	63	510	146	1277	88	446	88	526	236
1418	63	511	149	1268	90	404	88	536	211
1417	63	514	147	1277	90	406	88	516	231
1419	63	513	147	1279	89	403	89	517	220
1425	62	513	145	1274	89	409	89	516	220
1428	62	516	144	1276	90	409	89	518	218
1405	62	512	146	1277	89	407	89	516	218
1421	62	516	148	1267	90	407	88	514	231
1399	63	509	150	1272	92	409	87	519	218
1401	63	510	151	1285	89	426	87	513	219
1413	63	516	150	1271	89	407	87	517	219
1402	62	514	148	1270	90	405	87	514	215
1410	62	513	162	1274	90	406	88	520	222
1420	63	513	147	1263	89	405	88	516	216
